"Species","Natural_Spline_1","Natural_Spline_2","Natural_Spline_3","Natural_Spline_4","Cubic_Spline_1","Cubic_Spline_2","Cubic_Spline_3"
"TanCyo",1.85,6.47,0.09,2.03,-0.07,0,0
"TanLab",-2.1,8.11,1.57,-3.02,-0.81,0,0
"TanRue",0.23,29.51,5.17,10.86,-1.28,0,0
"TanChi",-26.22,79.79,28.04,39.68,-6.16,0.01,0
"TanVel",3.79,-0.58,0.53,-2.32,0.17,0,0
"TanCal",20.49,66.62,86.72,56.18,-5.72,0.01,0
"TanMex",1.49,1.72,1.33,3.24,0.1,0,0
"TanIno",4.18,4.8,5.56,8.88,0.13,0,0
"TanSel",-4.87,117.83,13.75,31.09,-5.71,0.01,0
"TanFas",2.88,112.54,10.91,28.07,-4.76,0.01,0
"TanCyc",12.07,-18.39,-27.75,-32.97,2.31,0,0
"TanCyv",-4.97,21.78,29.97,37.82,-1.78,0,0
"TanDes",-19.37,66.97,2.65,28.12,-3.53,0.01,0
"TanChr",3.58,3.84,8.51,6.95,-0.25,0,0
"TanXac",-0.7,2.63,59.27,56.46,-1.81,0,0
"TanSch",-9.88,39.78,44.33,57.75,-3.1,0.01,0
"TanJoh",-14.12,49.87,12.8,25.72,-3.23,0.01,0
"TanArt",-3.98,13.2,36.54,41.89,-1.57,0,0
"TanIct",-9.35,34,33.51,43.72,-2.71,0.01,0
"TanFlo",-24.02,70.46,59.26,72.43,-6.16,0.01,0
"TanPar",-7.99,33.57,53.71,53.47,-3.66,0.01,0
"TanLav",0.16,-0.32,12.54,24.61,0.49,0,0
"TanGyr",0.37,-0.54,10.6,19.7,0.37,0,0
"TanVas",27.81,20.65,17.18,10.92,0.4,0,0
"TanNiv",9.48,108.33,41.1,29.4,-6.37,0.01,0
"TanFuc",3.87,44.72,14.14,15.7,-2.18,0.01,0
"TanDow",-4.15,5.65,8.11,4.92,-0.92,0,0
"TanRuu",1.49,3.27,5.51,6.82,-0.09,0,0
"TanPun",7.76,35.69,28.25,22.32,-2.3,0.01,0
"TanXag",-29.14,57.48,4.05,24.95,-4.1,0.01,0
"TanGut",-8.05,35.49,12.61,23.07,-2.17,0,0
"TanVar",-13.14,39.81,4.7,21.3,-2.24,0,0
"TanPal",3.54,5.36,0,14.83,0.78,0,0
"TanVit",2.13,5.97,38.59,39.52,-1.03,0,0
"TanCuc",0.1,0.77,2.67,5.01,0.05,0,0
"TanCay",0.12,8.37,27.98,28.83,-1.03,0,0
"TanPre",-6.53,1.96,43.72,25.99,-2.69,0.01,0
"TanNic",42.67,23.41,0.32,46.88,4.43,-0.01,0
"TanCya",0.71,81.85,-10.46,53.36,-0.51,0,0
"TanLar",14.72,14.22,74.71,67.17,-1.82,0,0
"TanCyp",0.16,0.48,1.2,1.1,-0.04,0,0
"TanVir",-0.97,-0.72,0.13,-1.12,-0.1,0,0
"TanHei",0.96,2.17,1.88,3.42,0.01,0,0
"TanArg",0.24,0.56,0.82,0.87,-0.03,0,0
"ThrCyp",-3.61,17.18,-0.92,9.05,-0.58,0,0
"ThrAbb",7.92,4.52,-11.19,46.2,3.51,-0.01,0
"ThrPal",-16.38,18.35,-8.19,43.63,0.72,0,0
"ThrOrn",1.08,-10.46,-15.61,4.52,1.97,0,0
"ThrSay",5.2,18.59,11.41,24.03,-0.2,0,0
"ThrEpi",7.34,36.49,-1.53,31.31,0.53,0,0
"TanRuf",2.46,8.23,15.08,17.93,-0.41,0,0
